source	target
616	2175
616	1366
2175	1340
2175	1330
617	858
617	1388
617	2133
617	2263
618	706
618	1186
619	910
620	646
620	1054
621	817
621	992
622	1869
622	965
622	1256
622	1326
622	1732
622	2027
1869	1762
1869	1370
1869	2469
623	1941
624	1010
624	761
624	795
624	856
624	1278
1010	923
1010	1189
625	1118
626	632
626	1231
626	1325
628	749
628	1228
629	935
631	2303
631	1262
631	1482
631	1877
631	2289
2303	1877
633	1220
634	1597
635	799
635	821
635	823
635	1583
639	1022
641	1625
641	655
641	745
641	748
641	802
641	848
641	857
641	995
641	1064
641	1281
1625	968
644	661
644	2291
645	1455
645	1764
1455	991
1455	759
1455	1515
1455	1535
646	1054
646	705
646	803
1054	1695
647	1672
647	2182
648	665
648	707
648	946
648	1347
650	1313
1313	809
1313	1419
1313	1491
1313	2010
653	677
653	758
653	1682
654	1500
654	1023
654	1427
654	1437
654	1494
654	1670
1500	711
1500	1493
655	745
655	748
656	772
656	773
656	780
656	1862
656	1993
657	1045
657	1099
658	985
658	853
658	948
658	1070
658	1162
658	1293
658	1474
658	1523
985	1070
985	1197
985	1244
985	1276
985	1523
659	975
660	696
660	1110
663	994
664	1432
664	1737
665	1204
665	1462
666	678
666	710
666	739
666	752
668	1635
668	1790
670	1167
670	1330
1167	1068
1167	1330
1167	1611
1167	1837
671	743
672	812
673	1973
675	1103
676	2045
677	819
677	1747
678	1132
678	683
678	689
678	699
678	720
678	727
678	739
678	816
678	1161
1132	689
1132	699
1132	720
1132	765
1132	783
1132	1159
1132	1226
1132	1449
1132	1520
679	1007
680	796
681	768
681	811
681	991
684	812
685	1545
685	1651
685	2342
688	1029
689	998
689	1368
689	1389
690	753
690	1111
690	1180
753	727
753	1279
691	2196
693	697
693	1176
693	1206
693	1222
694	1348
696	1973
696	2021
697	1192
697	1229
1539	1471
699	783
699	804
699	1158
699	1748
700	766
766	760
766	902
766	1157
766	1172
766	2020
766	2187
701	1594
701	1702
702	1157
702	1306
1157	1793
1157	2020
704	1639
704	1448
704	824
704	1465
1639	1546
1448	823
1448	1311
1448	1808
705	1221
705	1554
706	1182
707	796
707	1224
708	916
709	1793
710	1520
710	2449
711	1913
711	1489
711	1670
1913	1129
1913	1987
712	842
712	1853
712	2016
713	1006
713	1413
713	2158
715	860
715	1133
718	1528
718	1061
719	987
719	1622
719	2379
719	2408
720	1748
720	2414
721	1000
721	1069
721	1269
721	1821
722	1583
723	2220
723	1299
2220	2009
2220	2039
724	989
724	1093
725	828
725	1074
725	1393
725	1799
726	780
726	1239
726	1779
727	737
727	849
727	994
727	1148
727	1316
727	2073
727	2089
728	846
728	1007
729	731
729	981
729	1495
729	1563
730	1008
731	1566
732	747
732	945
732	2145
733	1000
733	2258
734	857
734	1154
734	1966
857	942
735	770
740	1097
740	1153
740	1527
742	1090
742	1678
743	762
744	791
744	1143
744	1261
746	747
746	945
746	1398
747	1398
747	1598
748	802
748	848
749	811
749	852
749	1042
749	1103
749	1184
749	1826
749	1882
751	757
752	856
752	1146
752	1729
756	1899
757	844
758	973
759	1149
759	1743
759	1856
759	2247
761	1056
762	986
762	1108
762	1366
763	1736
1736	1080
1736	1765
767	1568
768	1599
771	2327
772	773
775	990
775	1679
990	1333
990	1776
777	855
778	805
778	1095
779	808
779	926
779	1099
779	2301
780	787
780	1202
781	932
784	787
785	1073
785	2296
785	2343
786	793
786	823
787	1019
787	1453
791	957
791	1261
957	1275
957	1589
957	1744
794	909
796	806
798	1102
798	854
798	1361
1102	986
1102	873
1102	1150
799	1159
799	2102
800	1083
800	824
1083	932
801	900
803	1024
804	2051
804	2088
2051	1927
2051	1735
2051	2058
2051	2144
2051	2158
805	936
805	1135
805	1454
806	1112
806	1512
806	1560
809	1960
809	1088
809	1164
809	1207
809	1235
809	1305
1960	1456
1960	2045
810	1164
810	1423
1164	1241
1164	1264
1164	1325
1164	1393
1164	1667
1164	1700
1164	1883
1164	1920
1164	1942
1164	2024
1164	2138
1164	2165
1164	2281
1164	2325
1164	2334
1164	2548
811	984
811	1307
811	1435
811	1582
812	1571
813	1034
813	988
813	2504
815	1303
815	2128
1303	1493
1303	1498
816	1643
818	863
818	1188
818	1827
818	2008
819	1865
819	2057
819	2229
820	1859
820	1437
820	1324
820	1364
820	1640
820	2031
1859	891
1859	1822
1437	1195
1437	2512
822	847
822	917
822	1636
847	1804
847	1636
917	848
917	999
917	1067
917	1136
917	1189
917	1216
823	1199
825	1091
826	1124
826	829
826	1428
826	1742
826	2320
1124	884
1124	1038
1124	1263
1124	1945
827	1514
827	995
827	1369
827	1663
827	2430
1514	1422
1514	1809
1514	2046
1514	2299
995	829
828	2068
828	969
2068	1764
2068	1414
2068	2385
829	835
829	1663
829	1937
835	1659
835	1696
835	1831
835	2095
835	2284
835	2320
830	1493
830	980
830	1123
1493	882
1493	1433
1493	1496
1493	1497
1493	1718
1493	1991
1493	2445
831	1374
831	1414
831	1517
831	1723
